,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,retweeted
101,2020-05-25,Iphone xr,1265068519546408960,Famous_Qveer,Chocolate Gumball 🍫🌈,"@TheeAnimeShawty I’m recently getting into photography/videography, my brand name is Gummy Illustrations. These pho… https://t.co/8f0lVfsYNb",1,0,1,False
102,2020-05-25,Iphone xr,1265068387614498816,SDeal4u,SmartDeal4u,#hashtag4 Game console SWITCH Remote Control Handle Phone Case For iPhone 11 Pro Max 6 6s 7 8 Plus X Xs max Xr Game… https://t.co/sNEHVFm4e5,0,0,0,False
103,2020-05-25,Iphone xr,1265066082995515401,7abib0,7abib0,@CokePokes also not possible to downgrade as I am getting “the request timed out” error. iPhone XR,0,0,0,False
104,2020-05-25,Iphone xr,1265066016452870147,Konfamgadgets,YOUR GADGET PLUG 🔌🔌,"Fastest finger 💨 💨 
iPhone XR blue 64 GB
Price : 215k https://t.co/79MFhFIjnF",0,0,0,False
105,2020-05-25,Iphone xr,1265065576910786561,Konfamgadgets,YOUR GADGET PLUG 🔌🔌,"Fastest finger 💨 💨 
iPhone XR blue 64 GB
Price : 210k https://t.co/p6rEu68v0E",0,0,0,False
106,2020-05-25,Iphone xr,1265065441917054980,Emiloc1987,Émiloc,The video quality sounds horrible for an iPhone XR,3,0,0,False
107,2020-05-25,Iphone xr,1265064006462685186,mingyuswon,ren 🐶,made this into a lockscreen :-) its in iphone xr dimensions so idk how it fits on other phones but ! https://t.co/gShP299mY0,1,0,0,False
108,2020-05-25,Iphone xr,1265062716860854272,RegularshareNet,Regular Share,"⁉️ YOU WON`T BELIEVE IT ⁉️
We`re selling Anti Spy Tempered Glass For iPhone 7 6 6S 8 Plus X XS XR, iPhone 6 7 8 XS… https://t.co/Y9B9J3LyrK",0,0,1,False
109,2020-05-25,Iphone xr,1265062627543310338,iDownloadBlog,iDownloadBlog,Wondering about some of the best clear cases for your #iPhoneXR or #iPhoneXS? We just updated our #roundup with new… https://t.co/iZOHKqEcOx,2,0,0,False
110,2020-05-25,Iphone xr,1265062117864022016,stealsrus_com,StealsRUs,"USB Wall Charger, Anker 60W 6 Port USB Charging Station, PowerPort 6 Multi USB Charger for iPhone Xs/Max/XR/X/8/7/P… https://t.co/gpu1SbVY99",0,0,0,False
111,2020-05-25,Iphone xr,1265061924917698562,wow48769561,wow,#hashtag4 KUULAA Qi Wireless Charger 10W for iPhone X XS 8 XR Samsung S9 Xiaomi Fast Wireless Charging Dock Station… https://t.co/DNCZYyRzAs,0,0,0,False
112,2020-05-25,Iphone xr,1265061438734753793,juliajacobo19,Julia Jacobo,"UNBREAKcable Screen Protector for iPhone XR, iPhone 11 3-Pack 6.1 Inch - 2.5D 9H Premium Tempered Glass for iPhone… https://t.co/uv5HvCiDTv",0,0,0,False
113,2020-05-25,Iphone xr,1265057947198971904,spopovvv,Stephan Popov,How to Clear RAM on iPhone X/XR/XS/XS MAX/11/11 Pro/11 Pro MAX https://t.co/J4Ng6xfvtt,0,0,0,False
114,2020-05-25,Iphone xr,1265056285923270656,wqredlqb,HotDeals,"【2020 Upgraded】 Miracase Car Phone Mount, Air Vent Cell Phone Holder for Car, Universal Car Phone Holder Cradle Com… https://t.co/5OpsAidMTM",0,0,0,False
115,2020-05-25,Iphone xr,1265055411952070673,runningwatches2,runningwatches1,"Fanny Pack Waist Bag Travel Pocket Chest Shoulder Bag Running Belt, for Running, Workouts, Cycling, Money Belt More… https://t.co/5R2LFUc7I9",0,0,0,False
